date,impressions recues,key,inventaire,site,emplacement,position,format,annonceur,impressions envoyees,marge,impressions facturables,campagne,partenaire,impressions prises,revenu,uid
01/12/2017,49928,1113,AMS Market Place,,,,,,49928,78%,13,decathlon,,49927,"11,36915376",
25/07/2017,2764,T-02,AMS Market Place,,,,,,2764,70%,,,,2764,"1,452295529",
25/07/2017,842,T-03,AMS Market Place,,,,,,842,70%,,,,842,"0,051560788",
25/07/2017,168,T-04,AMS Market Place,,,,,,168,70%,,,,168,"0,017186929",
25/07/2017,500,T-05,AMS Market Place,,,,,,500,70%,,,,500,0,
25/07/2017,106,A-AR-InRead-Desk,Ad Network Fill,,,,,,172,70%,,,,18,0,
25/07/2017,828,A-DZ-InRead-Desk,Ad Network Fill,,,,,,2627,70%,,,,328,"0,41",
25/07/2017,1169,A-LRN-InRead-Desk,Ad Network Fill,,,,,,3959,70%,,,,1019,"1,21",
25/07/2017,1581,A-LRN-InRead-Mob,Ad Network Fill,,,,,,11948,70%,,,,213,"0,28",
