Date,Impressions Envoyees,Key
11/07/2017,568,8100
11/07/2017,618,477700-10
11/07/2017,792,4565
11/07/2017,873,591326-2
11/07/2017,903,591326-15
11/07/2017,941,393466-15
11/07/2017,975,456346-57
11/07/2017,1087,393466-2
11/07/2017,1103,529906-10
11/07/2017,1167,529906-2
11/07/2017,1351,569748-2
11/07/2017,1381,393782-10
11/07/2017,1485,393782-9
11/07/2017,1550,393782-57
11/07/2017,1588,392430-10
11/07/2017,1787,477700-57
11/07/2017,1930,393766-2
11/07/2017,2009,392430-57
11/07/2017,2311,392466-15
11/07/2017,2381,394024-2
11/07/2017,2543,569746-55
11/07/2017,2668,388229
11/07/2017,2725,389607
11/07/2017,2830,9779145002
11/07/2017,3054,452900-10
11/07/2017,3058,529908-10
11/07/2017,3089,477702-2
11/07/2017,3490,388228
11/07/2017,3499,389606
11/07/2017,3758,452900-57
11/07/2017,3853,471996-58
11/07/2017,4320,529908-2
11/07/2017,4448,393210-2
11/07/2017,5287,394008-57
11/07/2017,5543,1802
11/07/2017,5865,497124-15
11/07/2017,6439,394024-15
11/07/2017,6764,471998-2
11/07/2017,6888,393178-57
11/07/2017,6933,471998-10
11/07/2017,7513,393178-10
11/07/2017,9326,394008-10
11/07/2017,9442,393188-10
11/07/2017,11477,393188-2
11/07/2017,11724,394166-2
11/07/2017,12073,413522-10
11/07/2017,13001,394154-57
11/07/2017,13548,2437
11/07/2017,14005,393342-15
11/07/2017,14193,393322-10
11/07/2017,14392,393322-57
11/07/2017,14544,4566
11/07/2017,17152,1113
11/07/2017,18424,392902-15
11/07/2017,18684,471996-10
11/07/2017,21823,392926-2
11/07/2017,24075,392902-57
11/07/2017,24386,4567
11/07/2017,24495,394166-88
11/07/2017,26047,1801
11/07/2017,27951,395228-10
11/07/2017,30146,395228-57
11/07/2017,55738,661430-15
11/07/2017,536972,-
12/07/2017,6,393368-10
12/07/2017,6,393368-57
12/07/2017,15,392892-10
12/07/2017,25,523402-10
12/07/2017,25,523404-2
