Key,Site,Emplacement,Position,Format,Partenaire
723622-2,Handnews,Handnews_728x90_RG_BTF,Bas,728 x 90,Rubicon
723622-57,Handnews,Handnews_728x90_RG_BTF,Bas,970 x 250,Rubicon
723626-10,Handnews,Handnews_300x250_RG_STF,Milieu,300 x 600,Rubicon
723626-15,Handnews,Handnews_300x250_RG_STF,Milieu,300 x 250,Rubicon
723628-10,Handnews,Handnews_300x250_RG_STF-rg,Haut,300 x 600,Rubicon
723628-15,Handnews,Handnews_300x250_RG_STF-rg,Haut,300 x 250,Rubicon
723628-2,Handnews,Handnews_728x90_RG_ATF,Haut,728 x 90,Rubicon
723628-57,Handnews,Handnews_728x90_RG_ATF,Haut,970 x 250,Rubicon
723630-10,Handnews,Handnews_300x250_RG_BTF,Bas,300 x 600,Rubicon
723630-15,Handnews,Handnews_300x250_RG_BTF,Bas,300 x 250,Rubicon
723630-2,Handnews,Handnews_728x90_RG_BTF,Bas,728 x 90,Rubicon
723630-57,Handnews,Handnews_728x90_RG_BTF,Bas,970 x 250,Rubicon
1005081560,DzFoot,DzFoot_320x50_BTF_RG-MOB,Bas,320 x 100,Google Adsense
1661130641,Le Rugbynistere,LeRugbynistere_300x250_ATF_RG,Haut,300 x 600,Google Adsense
2251525727,Les Violets,LesViolets_728x90_STF_RG,Milieu,728 x 90,Google Adsense
2295526245,Les Violets,LesViolets_300x250_STF_RG-MOB,Bas,300 x 600,Google Adsense
2535228611,Le Rugbynistere,LeRugbynistere_728x90_ATF_RG,Haut,728 x 90,Google Adsense
2919609092,DzFoot,DzFoot_300x250_BTF_RG,Bas,300 x 600,Google Adsense
2939279646,Le Rugbynistere,LeRugbynistere_300x250_ATF_RG,Haut,300 x 250,Google Adsense
3010451893,Sportune,Sportune_320x50,Bas,320 x 100,Google Adsense
3041863211,Les Violets,LesViolets_300x250_STF_RG,Milieu,300 x 600,Google Adsense
3500011809,French Blues,FrenchBlues_BTF_300x250-RG,Bas,300 x 600,Google Adsense
3641663821,DzFoot,DzFoot_300x250_ATF_RG,Haut,300 x 600,Google Adsense
3729617136,Le Rugbynistere,LeRugbynistere_300x250_ATF_RG,Haut,300 x 250,Google Adsense
4049622273,Le Rugbynistere,LeRugbynistere_300x250_STF_RG,Milieu,300 x 250,Google Adsense
4389268748,French Blues,FrenchBlues_ATF_300x250-RG,Haut,300 x 600,Google Adsense
4790059156,Les Violets,LesViolets_728x90_BTF_RG,Bas,728 x 90,Google Adsense
4801420997,DzFoot,DzFoot_300x250_STF_RG,Milieu,300 x 600,Google Adsense
4823206951,Le Rugbynistere,LeRugbynistere_300x250_STF_RG,Milieu,300 x 250,Google Adsense
4873126076,Handnews,Handnews_300x250_RG_BTF,Bas,300 x 600,Google Adsense
5102395241,French Blues,FrenchBlues_ATF_300x250-RG,Haut,300 x 600,Google Adsense
5288930212,Les Violets,LesViolets_300x250_BTF_RG,Bas,300 x 600,Google Adsense
5367353624,DzFoot,DzFoot_728x90_ATF_RG,Haut,728 x 90,Google Adsense
5371269814,Les Violets,LesViolets_320x50_ATF_RG-MOB,Haut,320 x 100,Google Adsense
5410018013,Les Violets,LesViolets_728x90_BTF_RG,Bas,728 x 90,Google Adsense
5424483976,Les Violets,LesViolets_300x250_STF_RG,Milieu,300 x 600,Google Adsense
5869351857,Le Rugbynistere,LeRugbynistere_300x250_BTF_RG,Bas,300 x 600,Google Adsense
6326596591,Mango Surf,MangoSurf_300x250_BTF_RG,Haut,300 x 600,Google Adsense
6466102909,Les Violets,LesViolets_300x250_ATF_RG,Haut,300 x 600,Google Adsense
6593079002,French Blues,FrenchBlues_ATF_300x250-RG,Haut,300 x 250,Google Adsense
6652561894,Les Violets,LesViolets_300x250_STF_RG,Milieu,300 x 250,Google Adsense
6776761924,Sportune,Sportune_320x50_RG_ATF,Haut,320 x 100,Google Adsense
6927894060,Les Violets,LesViolets_320x50_STF_RG-MOB,Milieu,320 x 100,Google Adsense
7207372306,Le Rugbynistere,LeRugbynistere_300x250_STF_RG,Milieu,300 x 250,Google Adsense
7223005551,DzFoot,DzFoot_728x90_BTF_RG,Bas,728 x 90,Google Adsense
7422994728,Le Rugbynistere,LeRugbynistere_320x50_BTF_RG-MOB,Bas,320 x 100,Google Adsense
7729228439,Le Rugbynistere,LeRugbynistere_728x90_BTF_RG,Bas,728 x 90,Google Adsense
7952443925,DzFoot,DzFoot_320x100_BTF_RG-MOB,Haut,320 x 100,Google Adsense
8260777133,Le Rugbynistere,LeRugbynistere_320x50_ATF_RG-MOB,Haut,320 x 100,Google Adsense
8345467228,Handnews,HandNews_320x50_RG_BTF,Bas,320 x 100,Google Adsense
8635958918,Les Violets,LesViolets_300x250_ATF_RG,Haut,300 x 600,Google Adsense
9185611494,Les Violets,LesViolets_728x90_ATF_RG,Haut,728 x 90,Google Adsense
9337167030,Le Rugbynistere,LeRugbynistere_300x250_BTF_RG,Bas,300 x 250,Google Adsense
9672696651,Les Violets,LesViolets_728x90_STF_RG,Milieu,728 x 90,Google Adsense
9761338328,Les Violets,LesViolets_300x250_BTF_RG,Bas,300 x 600,Google Adsense
9882603732,Les Violets,LesViolets_728x90_ATF_RG,Haut,728 x 90,Google Adsense
AD6-LV,Les Violets,LesViolets_1x1_ATF_RG,Bas,Footer,AD6
A-LV-InRead-Desk,Les Violets,LesViolets_native_ATF_RG-MOB,Haut,InRead,Adikteev
WS-320x50_HN,HandNews,HandNews_320x50_ATF-MOB,Haut,320 x 50,WideSpace
WS-320x50_SPT,Sportune,Sportune_320x50_ATF-MOB,Haut,320 x 50,WideSpace
Mo-300x250_SPT,Sportune,Sportune_300x250_ATF-MOB,Bas,300 x 250,Mozoo
Mo-300x250_FR,FrenchBlues,FrenchBlues_300x250_ATF-MOB,Bas,300 x 250,Mozoo
Mo-300x250_LRN,Le Rugbynistère,LeRugbynistere_300x250_ATF-MOB,Bas,300 x 250,Mozoo
Mo-300x250_DZ,DzFoot,DzFoot_300x250_ATF-MOB,Bas,300 x 250,Mozoo
Mo-300x250_LV,Les Violets,LV_300x250_ATF-MOB,Bas,300 x 250,Mozoo
Mo-300x250_HN,HandNews,HN_300x250_ATF-MOB,Bas,300 x 250,Mozoo
TF-728-FR-ATF,FrenchBlues,FrenchBlues_728x90_ATF,Haut,728 x 90,Tribal Fusion
TF-300-FR-ATF,FrenchBlues,FrenchBlues_300x250_ATF,Haut,300 x 250,Tribal Fusion
TF-CA-300-AS-ATF,Allo Surf,AlloSurf_300x250_RG_ATF,Haut,300 x 250,Tribal Fusion
TF-300-TAL-ATF,Track And Life,TrackandLife_300x250_ATF,Haut,300 x 250,Tribal Fusion
TF-300-TRI-ATF,Trimes,Trimes_300x250_RG_ATF,Haut,300 x 250,Tribal Fusion
